Feature,Importance
BMI,0.244378698224852
HbA1c,0.23076923076923075
Chol,0.01360946745562126
TG,0.004142011834319503
AGE,0.0017751479289940919
VLDL,0.0
Gender_f,0.0
HDL,0.0
LDL,-0.000591715976331364
Cr,-0.000591715976331364
Gender_M,-0.0017751479289940919
Urea,-0.00295857988165682
